#id	flamsteed	bayer	con 	ra	dec	mag
4701	70		UMa	122050.8	+575150	5.55
4702				122157.5	-562229	5.92
4703		Zet2	Mus	122207.3	-673119	5.15
4704		Zet1	Mus	122211.9	-681827	5.74
4705				122210.8	+244626	6.19
4706				122249.3	-574034	5.39
4707	12		Com	122230.3	+255046	4.81
4708	17		Vir	122232.0	+051820	6.40
4709				122537.5	-860902	6.33
4710				122313.8	-673754	6.36
4711	6		Crv	122321.6	-245026	5.68
4712				122335.4	-352446	5.32
4713				122336.9	-391811	6.40
4714				122344.9	-385440	5.79
4715	4		CVn	122347.0	+423234	6.06
4716	5		CVn	122401.5	+513344	4.80
4717	13		Com	122418.5	+260555	5.18
4718				122444.7	-412303	6.25
4719				122426.7	+253458	6.42
4720				122517.3	-654614	6.30
4721				122508.5	-423052	6.11
4722				122511.7	-113637	5.95
4723				122518.4	-274457	6.09
4724				122521.8	-351111	5.73
4725				122515.1	+235534	6.03
4726	71		UMa	122503.2	+564639	5.81
4727				122506.4	+634810	6.32
4728	6		CVn	122550.9	+390107	5.02
4729				122630.9	-630721	4.86
4730		Alp1	Cru	122635.9	-630557	1.33
4731		Alp2	Cru	122636.5	-630558	1.73
4732				122631.6	-512703	4.82
4733	14		Com	122624.1	+271606	4.95
4734				122648.2	-485448	6.26
4735				122651.7	-324948	5.55
4736				122724.6	-634721	6.00
4737	15	Gam	Com	122656.3	+281606	4.36
4738	16		Com	122659.3	+264932	5.00
4739				122728.7	-585931	5.50
4740				122624.2	+715547	6.24
4741				122742.1	+083637	6.37
4742				122749.4	-163755	6.35
4743		Sig	Cen	122802.4	-501350	3.91
4744				122818.9	-642029	6.04
4745	73		UMa	122735.1	+554246	5.70
4746				122751.6	-043655	6.22
4747				122825.5	-614743	6.22
4748				122822.5	-390229	5.44
4749				122833.4	-562428	6.15
4750				122838.1	+261336	6.54
4751				122844.6	+255357	6.65
4752	17		Com	122854.7	+255446	5.29
4753	18		Com	122926.9	+240632	5.48
4754				122953.9	-563129	5.80
4755				122957.9	-414410	6.02
4756	20		Com	122943.2	+205346	5.69
4757	7	Del	Crv	122951.9	-163056	2.95
4758				123004.8	-132335	6.35
4759				123017.5	-234148	5.63
4760	74		UMa	122957.3	+582421	5.35
4761	7		CVn	123002.9	+513208	6.21
4762	75		UMa	123004.3	+584603	6.08
4763		Gam	Cru	123109.9	-570648	1.63
4764		Gam	Cru	123116.7	-570452	6.42
4765	4		Dra	123006.7	+691204	4.95
4766	21		Com	123100.6	+243402	5.46
4767				123050.1	+530436	6.21
4768				123140.3	-592526	5.48
4769				123210.0	-730006	5.88
4770				123121.4	+073615	6.05
4771				123155.8	-633022	5.95
4772				123138.7	-050309	6.19
4773		Gam	Mus	123228.0	-720759	3.87
4774				123204.5	-323201	6.46
4775	8	Eta	Crv	123204.2	-161146	4.31
4776				123236.0	-135133	5.74
4777	20		Vir	123302.9	+101744	6.26
4778				123322.4	-194731	6.26
4779				123334.3	-124949	5.58
4780	22		Com	123334.2	+241659	6.29
4781	21		Vir	123346.8	-092707	5.48
4782				123359.2	-495434	6.38
4783				123338.9	+331451	5.42
4784				123347.4	+332305	6.24
